CODIGO,DESCRIPCION,CANTIDAD,UBICACION,CATALOGO,PROVEEDOR,TIPO,ENTREGADO A:,REGRESO FECHA:,WEB SITE,IMAGEN,ID
, ,1,C06N08P01,,,TELA,,,,,
, ,1,C06N08P02,,,TELA,,,,,
, ,1,C06N08P03,,,TELA,,,,,
, ,1,C06N08P04,,,TELA,,,,,
, ,1,C06N08P05,,,TELA,,,,,
, ,1,C06N08P06,,,TELA,,,,,
, ,1,C07N01P01,,,TELA,,,,,
, ,1,C07N01P02,,,TELA,,,,,
, ,1,C07N01P03,,,TELA,,,,,
, ,1,C07N01P04,,,TELA,,,,,
, ,1,C07N01P05,,,TELA,,,,,
, ,1,C07N01P06,,,TELA,,,,,
, ,1,C07N02P01,,,TELA,,,,,
, ,1,C07N02P02,,,TELA,,,,,
, ,1,C07N02P03,,,TELA,,,,,
, ,1,C07N02P04,,,TELA,,,,,
, ,1,C07N02P05,,,TELA,,,,,
, ,1,C07N02P06,,,TELA,,,,,
, ,1,C07N03P01,,,TELA,,,,,
, ,1,C07N03P02,,,TELA,,,,,
, ,1,C07N03P03,,,TELA,,,,,
, ,1,C07N03P04,,,TELA,,,,,
, ,1,C07N03P05,,,TELA,,,,,
, ,1,C07N03P06,,,TELA,,,,,
, ,1,C07N04P01,,,TELA,,,,,
, ,1,C07N04P02,,,TELA,,,,,
, ,1,C07N04P03,,,TELA,,,,,
, ,1,C07N04P04,,,TELA,,,,,
, ,1,C07N04P05,,,TELA,,,,,
, ,1,C07N04P06,,,TELA,,,,,
, ,1,C07N05P01,,,TELA,,,,,
, ,1,C07N05P02,,,TELA,,,,,
, ,1,C07N05P03,,,TELA,,,,,
, ,1,C07N05P04,,,TELA,,,,,
, ,1,C07N05P05,,,TELA,,,,,
, ,1,C07N05P06,,,TELA,,,,,
, ,1,C07N06P01,,,TELA,,,,,
, ,1,C07N06P02,,,TELA,,,,,
, ,1,C07N06P03,,,TELA,,,,,
, ,1,C07N06P04,,,TELA,,,,,
, ,1,C07N06P05,,,TELA,,,,,
, ,1,C07N06P06,,,TELA,,,,,
, ,1,C07N07P01,,,TELA,,,,,
, ,1,C07N07P02,,,TELA,,,,,
, ,1,C07N07P03,,,TELA,,,,,
, ,1,C07N07P04,,,TELA,,,,,
, ,1,C07N07P05,,,TELA,,,,,
, ,1,C07N07P06,,,TELA,,,,,
, ,1,C07N08P01,,,TELA,,,,,
, ,1,C07N08P02,,,TELA,,,,,
, ,1,C07N08P03,,,TELA,,,,,
, ,1,C07N08P04,,,TELA,,,,,
, ,1,C07N08P05,,,TELA,,,,,
, ,1,C07N08P06,,,TELA,,,,,
, ,1,C08N01P01,,,TELA,,,,,
, ,1,C08N01P02,,,TELA,,,,,
, ,1,C08N01P03,,,TELA,,,,,
, ,1,C08N01P04,,,TELA,,,,,
, ,1,C08N01P05,,,TELA,,,,,
, ,1,C08N01P06,,,TELA,,,,,
, ,1,C08N02P01,,,TELA,,,,,
, ,1,C08N02P02,,,TELA,,,,,
, ,1,C08N02P03,,,TELA,,,,,
, ,1,C08N02P04,,,TELA,,,,,
, ,1,C08N02P05,,,TELA,,,,,
, ,,C08N02P06,,,TELA,,,,,
, ,,C08N03P01,,,TELA,,,,,
, ,,C08N03P02,,,TELA,,,,,
, ,,C08N03P03,,,TELA,,,,,
, ,,C08N03P04,,,TELA,,,,,
, ,,C08N03P05,,,TELA,,,,,
, ,,C08N03P06,,,TELA,,,,,
, ,,C08N04P01,,,TELA,,,,,
, ,,C08N04P02,,,TELA,,,,,
, ,,C08N04P03,,,TELA,,,,,
, ,,C08N04P04,,,TELA,,,,,
, ,,C08N04P05,,,TELA,,,,,
, ,,C08N04P06,,,TELA,,,,,
, ,,C08N05P01,,,TELA,,,,,
, ,,C08N05P02,,,TELA,,,,,
, ,,C08N05P03,,,,,,,,
, ,,C08N05P04,,,,,,,,
, ,,C08N05P05,,,,,,,,
, ,,C08N05P06,,,,,,,,
, ,,C08N06P01,,,,,,,,
, ,,C08N06P02,,,,,,,,
, ,,C08N06P03,,,,,,,,
, ,,C08N06P04,,,,,,,,
, ,,C08N06P05,,,,,,,,
, ,,C08N06P06,,,,,,,,
, ,,C08N07P01,,,,,,,,
, ,,C08N07P02,,,,,,,,
, ,,C08N07P03,,,,,,,,
, ,,C08N07P04,,,,,,,,
,,,C08N07P05,,,,,,,,
,,,C08N07P06,,,,,,,,
,,,C08N08P01,,,,,,,,
,,,C08N08P02,,,,,,,,
,,,C08N08P03,,,,,,,,
,,,C08N08P04,,,,,,,,
,,,C08N08P05,,,,,,,,
,,,C08N08P06,,,,,,,,
